Designator,Mid X,Mid Y,Rotation,Layer
J1,106.68,-95.03,0.0,top
J2,175.41,-95.03,0.0,top
J3,172.465,-73.45,90.0,top
LED1,119.95,-78.305,90.0,top
LED10,149.63,-78.305,90.0,top
LED11,152.44,-78.305,90.0,top
LED12,155.25,-78.305,90.0,top
LED13,158.06,-78.305,90.0,top
LED14,160.87,-78.305,90.0,top
LED15,119.95,-118.11,90.0,top
LED16,122.8,-118.11,90.0,top
LED17,125.65,-118.11,90.0,top
LED18,128.5,-118.11,90.0,top
LED19,131.35,-118.11,90.0,top
LED2,122.8,-78.305,90.0,top
LED20,134.2,-118.11,90.0,top
LED21,137.05,-118.11,90.0,top
LED22,144.0,-118.11,90.0,top
LED23,146.82,-118.11,90.0,top
LED24,149.63,-118.11,90.0,top
LED25,152.44,-118.11,90.0,top
LED26,155.25,-118.11,90.0,top
LED27,158.06,-118.11,90.0,top
LED28,160.87,-118.11,90.0,top
LED3,125.65,-78.305,90.0,top
LED4,128.5,-78.305,90.0,top
LED5,131.35,-78.305,90.0,top
LED6,134.2,-78.305,90.0,top
LED7,137.05,-78.305,90.0,top
LED8,144.0,-78.305,90.0,top
LED9,146.82,-78.305,90.0,top
R1,119.95,-73.245,90.0,top
R10,149.63,-73.245,90.0,top
R11,152.44,-73.245,90.0,top
R12,155.25,-73.245,90.0,top
R13,158.06,-73.245,90.0,top
R14,160.87,-73.245,90.0,top
R15,119.95,-112.765,90.0,top
R16,122.8,-112.765,90.0,top
R17,125.65,-112.765,90.0,top
R18,128.5,-112.765,90.0,top
R19,131.35,-112.765,90.0,top
R2,122.8,-73.245,90.0,top
R20,134.2,-112.765,90.0,top
R21,137.05,-112.765,90.0,top
R22,144.0,-112.63,90.0,top
R23,146.82,-112.63,90.0,top
R24,149.63,-112.63,90.0,top
R25,152.44,-112.63,90.0,top
R26,155.25,-112.63,90.0,top
R27,158.06,-112.63,90.0,top
R28,160.87,-112.63,90.0,top
R3,125.65,-73.245,90.0,top
R4,128.5,-73.245,90.0,top
R5,131.35,-73.245,90.0,top
R6,134.2,-73.245,90.0,top
R7,137.05,-73.245,90.0,top
R8,144.0,-73.245,90.0,top
R9,146.82,-73.245,90.0,top
